ID référent,Nom des projets,Puissance EXE,SPV,Latitude,Longitude,Adresse,Dept,Type de centrale,Installateur,Date réelle démarrage centrale PV,Date réelle fin centrale PV,Entreprise,Date de reception réelle des DRE 155/162,Date MES,SI,Panneaux,Contact Chargé Exploitation,Numéro Chargé d'exploitation,Contact Gestion actif,Numéro Gestion actif,Audit en toiture,Audit hors toiture,Sous performance non identifié,Ratio PR réel VS PR théorique OCTOBRE,Raison probable,Date prévisionnelle d'audit,Date réelle d'audit,Présence auto controle,Présence PV réception lot PV,Présence CR visite chantier lot PV
15843,Hangar Laurent ROUX,313.95,F2 DAVAI ENRSPV6,44.92782,2.98992,10 Rue de Vareine 15260 Neuvéglise-sur-Truyère,15,Bâtiment à construire -  A2,Yama Energies,2025-02-03,2025-02-21,SOCOTEC POWER SERVICES,2025-02-25,2025-04-22,DOMESOLAR NPA 3.45,DMEGC-DM455M10RT-54HSW-HBW,Parfait MEZEME ONA,06 63 06 94 73,Jean-Paul THOROGOOD,06 74 94 09 90,,X,,0.9504443697959281,,cadenet,,Oui,Oui,Non
17966,Hangar Laurent ROUX,123.41,F2 DAVAI ENRSPV8,44.92766,2.99036,"Cros et Vareine, 15260 Neuvéglise-sur-Truyère, France",15,Toiture existante / Rénovation,OFT ,2024-05-29,2024-06-26,SOCOTEC POWER SERVICES,2024-08-27,2024-10-22,DOMESOLAR Ital Solar,DMEGC-DM430M10T-54HSW-HBW,Parfait MEZEME ONA,06 63 06 94 73,Jean-Paul THOROGOOD,06 74 94 09 90,,X,,0.6717771075466478,Pb AGCP qui déclenche,cadenet,,Oui,Non,Non
70087,Hangar Bernard MAGE,300.82,F2 DAVAI ENRSPV8,44.75755,2.04496,"Broussoles, 46210 Montet-et-Bouxal, France",46,Bâtiment à construire -  A2,Acrom,2024-09-02,2024-10-04,SOCOTEC POWER SERVICES,2024-10-21,2024-11-13,DOMESOLAR NPA 3.45,JKM445N-54HL4R-V,Parfait MEZEME ONA,06 63 06 94 73,Jean-Paul THOROGOOD,06 74 94 09 90,X,X,,1.021686503066118,,cadenet,,Oui,Oui,Non
86550,Hangar Frederic Sinaud,499.59,F3 DAVAI ENRSPV11,46.2183,1.65147,"11 La Quaire, 23240 Saint-Priest-la-Plaine, France",23,Bâtiment à construire - C,INNOVA,2025-01-27,2025-02-28,SOCOTEC POWER SERVICES,2025-04-22,2025-06-04,DOMESOLAR NPA 3.45,DMEGC-DM455M10RT-54HSW-HBW,Parfait MEZEME ONA,06 63 06 94 73,Jean-Paul THOROGOOD,06 74 94 09 90,,X,,0.9739352089419804,,cadenet,,Oui,Oui,Oui
90034,Hangar Frederic Sinaud,218.4,F3 DAVAI ENRSPV11,46.23163,1.52775,"La Drable, 23300 Saint Priest la feuille",23,Bâtiment à construire - C,INNOVA,2025-02-17,2025-02-28,SOCOTEC POWER SERVICES,2025-04-22,2025-06-04,DOMESOLAR NPA 3.45,DMEGC-DM455M10RT-B54HSW,Parfait MEZEME ONA,06 63 06 94 73,Jean-Paul THOROGOOD,06 74 94 09 90,,X,,1.0085301175245744,,cadenet,,Oui,Oui,Oui
95686,MARTEL 184 Construction,499.95,F2 DAVAI ENRSPV9,46.21212,1.66779,"Lieudit Les Ribières, 23240 Le Grand Bourg",23,Bâtiment à construire -  A2,NEOXOM,2024-08-26,2024-10-02,SOCOTEC POWER SERVICES,2024-11-05,2025-02-04,DOMESOLAR NPA 3.45,JKM450N-54HL4R-V,Parfait MEZEME ONA,06 63 06 94 73,Victor PONTAIS,06 69 21 76 42,,X,,0.689275008661954,Modification des shelters jusqu'au 6 octobre,cadenet,,Non,Oui,Non
95689,BOUCHARDY 203 LOC,498.68,F2 DAVAI ENRSPV9,46.18866,1.70087,"Saint-Martin, 23320 Saint-Vaury, France",23,Toiture existante / Rénovation,OFT,2024-12-09,2025-01-24,SOCOTEC POWER SERVICES,2025-02-03,2025-03-12,DOMESOLAR NPA 3.45,DMEGC-DM455M10RT-54HSW-HBW,Parfait MEZEME ONA,06 63 06 94 73,Victor PONTAIS,06 69 21 76 42,,X,X,0.8724129032053308,,cadenet,,Oui,Oui,Non
95691,BOULOIR 206 LOC,499.14,F2 DAVAI ENRSPV9,46.21057,1.67252,"23240 Le Grand-Bourg, France",23,Toiture existante / Rénovation,OFT,2024-12-16,2025-01-31,SOCOTEC POWER SERVICES,2025-02-03,2025-03-11,DOMESOLAR NPA 3.45,DMEGC-DM455M10RT-54HSW-HBW,Parfait MEZEME ONA,06 63 06 94 73,Victor PONTAIS,06 69 21 76 42,,X,,0.9177162024556237,,cadenet,,Oui,Oui,Non
95695,MARTEL 183 LOC,456.82,F2 DAVAI ENRSPV9,46.2125953274947,1.66652635015915,LIEU-DIT LES RIBIERES LE GRAND BOURG,23,Toiture existante / Rénovation,NEOXOM,2025-01-27,2025-04-11,SOCOTEC POWER SERVICES,2025-03-07,2025-03-27,DOMESOLAR NPA 3.45,DMEGC-DM455M10RT-54HSW-HBW,Parfait MEZEME ONA,06 63 06 94 73,Victor PONTAIS,06 69 21 76 42,,X,,0.9702972911580982,,cadenet,,Oui,Oui,Non
96546,Hangar Fabrice COMBY,499.59,F3 DAVAI ENRSPV11,45.452821,1.2834,"Besse, 19210 Saint-Éloy-les-Tuileries, France",19,Toiture existante / PV Ready,HBBAT,2024-12-13,2025-02-21,SOCOTEC POWER SERVICES,2025-03-06,2025-03-25,DOMESOLAR NPA 3.45,DMEGC-DM455M10RT-54HSW-HBW,Parfait MEZEME ONA,06 63 06 94 73,Jean-Paul THOROGOOD,06 74 94 09 90,X,X,X,0.8894752038770432,,cadenet,,Oui,Oui,Non
